time_stamp,lat,lon,alt
2026-05-28T03:00:07.544,24.943209,121.3711505,0.83
2026-05-28T03:00:08.547,24.9432087,121.3711496,0.867
2026-05-28T03:00:09.550,24.9432076,121.3711489,0.977
2026-05-28T03:00:10.542,24.9432061,121.3711438,0.884
2026-05-28T03:00:11.544,24.9432064,121.3711345,0.697
2026-05-28T03:00:12.555,24.9432062,121.3711244,0.989
2026-05-28T03:00:13.541,24.9432059,121.3711161,0.743
2026-05-28T03:00:14.550,24.9432054,121.3711087,0.932
2026-05-28T03:00:15.546,24.9432044,121.371101,0.861
2026-05-28T03:00:16.544,24.9432037,121.3710937,0.819
2026-05-28T03:00:17.553,24.9432025,121.3710895,0.924
2026-05-28T03:00:18.543,24.9432013,121.3710883,0.966
2026-05-28T03:00:19.547,24.9431994,121.3710855,0.898
2026-05-28T03:00:20.562,24.9431974,121.3710823,0.799
2026-05-28T03:00:21.545,24.9431954,121.3710788,0.926
2026-05-28T03:00:22.539,24.9431937,121.3710752,0.601
2026-05-28T03:00:23.545,24.9431925,121.3710739,0.822
2026-05-28T03:00:24.540,24.9431916,121.3710731,0.819
2026-05-28T03:00:25.543,24.943191,121.3710723,0.932
2026-05-28T03:00:26.529,24.9431886,121.3710689,1.039
2026-05-28T03:00:27.542,24.9431868,121.3710667,0.847
2026-05-28T03:00:28.542,24.9431854,121.371065,0.842
2026-05-28T03:00:29.542,24.9431843,121.3710636,0.534
2026-05-28T03:00:30.544,24.943183,121.3710621,1.017
2026-05-28T03:00:31.545,24.9431825,121.3710624,0.864
2026-05-28T03:00:32.556,24.9431832,121.3710629,0.751
2026-05-28T03:00:33.547,24.943184,121.3710637,1.076
2026-05-28T03:00:34.551,24.9431836,121.371062,0.808
2026-05-28T03:00:35.541,24.9431835,121.3710623,0.678
2026-05-28T03:00:36.542,24.9431844,121.3710627,0.813
2026-05-28T03:00:37.557,24.943185,121.3710637,0.915
2026-05-28T03:00:38.542,24.9431852,121.3710651,1.359
2026-05-28T03:00:39.538,24.9431858,121.3710654,1.022
2026-05-28T03:00:40.542,24.9431866,121.3710674,0.955
2026-05-28T03:00:41.545,24.9431872,121.371068,0.878
2026-05-28T03:00:42.545,24.9431875,121.3710686,0.717
2026-05-28T03:00:43.543,24.9431871,121.3710678,0.867
2026-05-28T03:00:44.547,24.9431865,121.3710677,0.904
2026-05-28T03:00:45.536,24.9431862,121.3710674,0.989
2026-05-28T03:00:46.542,24.9431854,121.3710658,0.72
2026-05-28T03:00:47.551,24.943184,121.3710623,0.873
2026-05-28T03:00:48.547,24.9431842,121.3710623,1.124
2026-05-28T03:00:49.547,24.9431833,121.3710611,0.989
2026-05-28T03:00:50.545,24.9431824,121.3710612,1.246
2026-05-28T03:00:51.535,24.9431812,121.3710603,0.986
2026-05-28T03:00:52.552,24.9431805,121.3710599,0.839
2026-05-28T03:00:53.544,24.9431795,121.3710587,0.989
2026-05-28T03:00:54.547,24.9431787,121.3710582,0.915
2026-05-28T03:00:55.538,24.9431776,121.3710583,0.887
2026-05-28T03:00:56.555,24.9431765,121.3710575,1.102
2026-05-28T03:00:57.539,24.9431752,121.3710572,1.181
2026-05-28T03:00:58.538,24.9431753,121.3710587,0.737
2026-05-28T03:00:59.539,24.9431757,121.3710605,0.972
2026-05-28T03:01:00.555,24.9431748,121.37106,0.751
2026-05-28T03:01:01.543,24.9431744,121.3710617,1.167
2026-05-28T03:01:02.541,24.9431743,121.3710627,0.991
2026-05-28T03:01:03.544,24.9431735,121.3710626,0.816
2026-05-28T03:01:04.552,24.9431734,121.3710611,0.875
2026-05-28T03:01:05.541,24.9431735,121.3710604,0.946
2026-05-28T03:01:06.545,24.9431732,121.3710586,0.83
2026-05-28T03:01:07.535,24.9431738,121.3710585,0.777
2026-05-28T03:01:08.541,24.9431741,121.3710573,1.124
2026-05-28T03:01:09.542,24.9431746,121.3710563,0.892
2026-05-28T03:01:10.535,24.9431742,121.3710549,0.915
2026-05-28T03:01:11.543,24.9431748,121.3710558,0.748
2026-05-28T03:01:12.544,24.9431748,121.3710536,1.053
2026-05-28T03:01:13.543,24.9431746,121.3710516,0.994
2026-05-28T03:01:14.541,24.9431739,121.3710486,0.878
2026-05-28T03:01:15.543,24.9431738,121.3710471,0.785
2026-05-28T03:01:16.546,24.9431741,121.3710449,0.884
2026-05-28T03:01:17.545,24.9431746,121.3710423,1.251
2026-05-28T03:01:18.535,24.9431767,121.3710421,0.757
2026-05-28T03:01:19.546,24.9431774,121.3710407,1.243
2026-05-28T03:01:20.543,24.9431779,121.371037,0.867
